,MMSI,hasProblem,hasLocationSpoofing,hasIdentitySpoofing,CountOfClusters
0,fb2cb3db-63b3-4c23-a668-d809411ff3dd,False,False,False,-1
1,8f5a8e2d-e1a4-463f-b84a-be1c20dac6f2,False,False,False,8
2,8b998a42-caba-4baa-81e2-2318f290906e,False,False,False,-1
3,bddbe352-2065-4447-b229-1c7d13c4102e,False,False,False,-1
4,6ab31745-f8a1-44d7-9e10-bd27c687ae5a,False,False,False,-1
5,7f4ed272-aa83-460c-9b7d-151bab437afa,False,False,False,4
6,fde3110a-d1bc-4f8f-b670-09fa5b1430d2,False,False,False,23
7,f4c04d88-6486-4162-8410-20a999fbf7f9,False,False,False,7
8,4832461a-b4ba-4fec-b293-e832483b6aa4,False,False,False,-1
9,a8281c55-2f59-443c-b301-057ccfe05013,False,False,False,6
10,aaaf6376-8d33-4846-bb55-65a77cfc203f,False,False,False,3
11,ada3303a-8831-40cd-90de-7aa0bba18146,False,False,False,14
12,64cb614a-8687-409e-b2ce-d7bbf5d318d0,False,False,False,-1
13,a5d02000-178d-435d-9b07-ad5bb10fef9a,False,False,False,-1
14,a1622817-1136-408d-a4e3-d29128d0110d,False,False,False,7
15,9d3b5a05-ceed-4f93-b2e4-4ff1a7ce48ef,False,False,False,-1
16,67fb0af8-d3f3-4b4f-8805-84a22759665e,False,False,False,4
17,203d4b0c-6808-454b-ae7a-382dbd3d79e3,False,False,False,11
18,86dbf2ec-a3df-462a-9343-7e78adbd43da,True,True,False,31
19,c1ece90f-d8c8-415f-947a-659eb9828525,False,False,False,-1
20,8a28060e-8c2b-4cc8-92db-8df4e244685e,False,False,False,-1
21,7e5bea89-7686-479e-bc58-a23295ac6f9a,False,False,False,5
22,ac971193-a201-4bc5-a0a5-513e8600b93c,False,False,False,3
23,fd1146aa-2aa5-4c88-9b90-3524f80d1b43,False,False,False,7
24,91fe074a-55a1-4790-b2a4-f0e29b348801,False,False,False,-1
25,ee6c7b97-551e-43d8-865f-2cb5a96dd940,False,False,False,-1
26,48c84af5-897a-4fc1-8523-c5e3ab9e363f,False,False,False,12
27,fff958bd-9558-4692-bc8b-db1bf5949b18,False,False,False,-1
28,a0d434a2-3d1c-40d0-a937-669767e4bce7,False,False,False,9
29,a61c8579-59ba-4a7c-96c8-f69213fd7708,False,False,False,16
30,98a9cabe-d9cc-40b4-a84d-533880771a39,False,False,False,8
31,95b5bf20-65e9-437f-9d54-4cfc6d5fcf07,False,False,False,-1
32,b32dfbd3-6feb-4620-8aab-fa84e7a1806c,False,False,False,-1
33,354196d1-8686-464b-9c38-c913fac7080e,False,False,False,-1
34,7825cdc8-0e8b-472e-8c2d-2601367720a2,False,False,False,-1
35,50ee2bf4-a35b-459b-86ce-a687f5d0085e,False,False,False,-1
36,38447bf2-93ee-4c43-b488-854adf0e17fc,False,False,False,7
37,27f7f0bb-ee15-48dd-b7af-be60a282129a,False,False,False,-1
